DR,A%,DF%,1stIn,1st%,2nd%
0.58,9.5%,9.5%,64.3%,44.4%,33.3%
0.89,0.9%,3.5%,66.7%,69.7%,60.5%
0.90,0.0%,2.3%,65.9%,51.7%,63.3%
0.69,1.7%,1.7%,63.5%,53.4%,50.0%
1.12,0.0%,8.1%,58.1%,58.3%,46.2%
1.22,2.8%,2.8%,63.4%,77.8%,50.0%
1.32,9.5%,6.8%,58.1%,67.4%,51.6%
0.83,0.0%,0.0%,57.4%,65.7%,34.6%
0.90,1.5%,3.0%,70.7%,61.7%,59.0%
1.65,2.4%,2.4%,69.0%,79.3%,46.2%
0.77,1.9%,0.0%,55.8%,58.6%,39.1%
1.22,3.4%,2.2%,58.4%,71.2%,54.1%
1.16,5.3%,4.3%,67.0%,65.1%,41.9%
0.89,5.1%,5.1%,59.6%,61.0%,50.0%
0.55,4.0%,4.0%,52.0%,65.4%,29.2%
2.28,2.9%,2.9%,60.0%,66.7%,78.6%
1.61,1.8%,0.0%,58.9%,72.7%,56.5%
0.69,0.0%,4.8%,74.2%,63.0%,31.3%
0.75,0.0%,1.6%,74.2%,58.7%,18.8%
1.07,2.9%,0.0%,73.1%,72.4%,53.6%
1.21,2.8%,2.8%,74.6%,73.6%,61.1%
0.80,0.0%,9.1%,63.6%,45.7%,40.0%
0.64,1.0%,7.7%,45.2%,61.7%,45.6%
0.85,0.0%,4.1%,79.6%,53.8%,50.0%
1.01,0.0%,2.9%,76.5%,57.7%,62.5%
0.84,2.7%,8.0%,65.3%,57.1%,34.6%
1.00,8.0%,4.0%,66.7%,76.0%,44.0%
0.41,3.1%,1.5%,69.2%,53.3%,50.0%
1.64,1.9%,1.9%,80.8%,81.0%,40.0%
0.72,2.7%,4.0%,58.7%,54.5%,61.3%
0.57,1.5%,2.9%,70.6%,58.3%,25.0%
1.53,1.9%,1.9%,72.2%,64.1%,60.0%
0.64,3.1%,3.1%,72.9%,62.9%,57.7%
1.06,3.3%,1.1%,66.7%,65.0%,66.7%
1.31,1.2%,2.4%,72.3%,71.7%,52.2%
1.10,0.0%,1.8%,66.7%,60.5%,47.4%
0.81,0.0%,1.2%,70.9%,65.6%,40.0%
0.60,0.0%,7.7%,61.5%,62.5%,46.7%
0.63,0.0%,6.1%,62.2%,72.5%,35.5%
0.89,3.0%,4.5%,69.7%,65.2%,35.0%
1.17,4.3%,8.6%,67.1%,68.1%,43.5%
0.88,5.0%,5.0%,65.0%,67.3%,53.6%
1.31,5.1%,1.7%,71.2%,73.8%,70.6%
1.30,3.4%,0.0%,62.7%,64.9%,72.7%
0.57,3.2%,4.8%,69.8%,61.4%,47.4%
0.62,1.2%,2.5%,71.6%,58.6%,39.1%
1.30,2.1%,4.2%,74.0%,70.4%,32.0%
0.50,0.0%,2.3%,67.4%,27.6%,50.0%
1.39,0.0%,4.0%,68.0%,79.4%,56.3%
0.61,1.1%,5.7%,67.8%,54.2%,32.1%
1.24,0.0%,2.1%,61.9%,60.0%,64.9%
1.14,1.4%,2.1%,73.6%,60.4%,50.0%
0.82,0.0%,2.8%,63.9%,58.7%,34.6%
0.79,0.0%,3.1%,64.3%,69.8%,40.0%
0.90,2.7%,6.8%,56.8%,54.8%,59.4%
0.99,0.0%,2.9%,79.4%,72.2%,21.4%
0.71,1.7%,5.0%,56.7%,47.1%,38.5%
1.74,0.0%,0.0%,66.7%,60.7%,85.7%
0.26,0.0%,26.9%,53.8%,28.6%,16.7%
1.24,4.6%,0.0%,66.2%,65.1%,59.1%
0.95,3.2%,6.3%,58.7%,62.2%,42.3%
0.76,1.8%,7.0%,70.2%,62.5%,41.2%
1.18,2.2%,3.3%,63.3%,70.2%,51.5%
0.70,0.0%,3.6%,69.6%,64.1%,35.3%
0.55,3.5%,1.8%,54.4%,67.7%,42.3%
1.79,2.2%,4.4%,64.4%,65.5%,68.8%
0.86,0.0%,4.1%,75.2%,64.8%,40.0%
0.61,0.0%,3.8%,69.2%,52.8%,37.5%
0.71,0.0%,0.0%,78.4%,40.0%,27.3%
0.70,1.5%,4.5%,62.7%,59.5%,48.0%
0.58,2.9%,1.4%,74.3%,59.6%,66.7%
1.07,5.3%,2.6%,67.8%,68.0%,59.2%
0.56,0.0%,4.5%,77.3%,47.1%,40.0%
