DR,A%,DF%,1stIn,1st%,2nd%
0.78,1.3%,5.2%,72.7%,69.6%,47.6%
0.98,3.3%,3.3%,67.8%,62.3%,41.4%
1.11,9.0%,4.5%,57.3%,82.4%,60.5%
2.45,10.0%,0.0%,82.5%,81.8%,71.4%
0.85,5.6%,1.1%,76.4%,63.2%,42.9%
1.22,8.0%,2.0%,75.0%,72.0%,48.0%
0.60,3.2%,4.8%,64.5%,70.0%,45.5%
1.62,3.5%,5.3%,64.9%,86.5%,50.0%
1.27,4.7%,4.7%,75.0%,64.6%,37.5%
0.73,7.8%,0.0%,66.7%,76.7%,43.3%
0.86,1.3%,1.3%,62.5%,58.0%,50.0%
1.26,4.1%,4.1%,63.0%,71.7%,48.1%
2.73,5.0%,5.0%,67.5%,88.9%,69.2%
0.44,3.4%,0.0%,67.8%,50.0%,42.1%
1.82,0.0%,6.3%,58.7%,73.0%,53.8%
1.67,8.5%,4.3%,66.0%,67.7%,68.8%
1.19,20.0%,4.3%,74.3%,75.0%,44.4%
1.19,1.4%,1.4%,66.2%,72.3%,58.3%
1.10,3.1%,6.3%,66.7%,65.6%,46.9%
1.48,4.1%,4.1%,65.3%,71.9%,52.9%
1.26,3.4%,5.2%,65.5%,71.1%,40.0%
0.88,4.5%,3.0%,67.2%,62.2%,45.5%
1.00,7.0%,2.6%,60.0%,75.4%,50.0%
1.63,5.9%,2.0%,64.7%,81.8%,50.0%
0.61,8.2%,6.6%,57.4%,65.7%,38.5%
0.92,1.2%,2.5%,70.4%,61.4%,45.8%
0.83,10.5%,3.5%,59.3%,74.5%,45.7%
1.36,7.1%,1.2%,48.2%,82.9%,56.8%
1.20,9.1%,1.0%,61.6%,73.8%,50.0%
1.58,2.1%,0.0%,53.2%,72.0%,54.5%
1.19,8.8%,2.5%,65.0%,76.9%,50.0%
2.29,16.3%,2.0%,65.3%,90.6%,64.7%
1.96,17.0%,0.0%,63.8%,93.3%,41.2%
1.07,8.9%,2.0%,63.4%,70.3%,56.8%
0.93,14.7%,1.5%,69.1%,63.8%,66.7%
1.20,12.5%,3.4%,65.9%,72.4%,43.3%
0.75,8.9%,0.0%,66.7%,66.7%,46.7%
2.19,9.3%,2.3%,69.8%,83.3%,61.5%
0.86,5.6%,4.2%,65.3%,61.7%,44.0%
0.93,8.0%,5.6%,50.4%,84.1%,41.9%
0.81,9.6%,4.1%,68.5%,62.0%,56.5%
1.25,7.3%,3.7%,67.1%,74.5%,51.9%
1.26,7.5%,1.5%,61.2%,73.2%,61.5%
1.76,2.0%,2.0%,71.4%,77.1%,50.0%
0.73,9.9%,1.2%,61.7%,74.0%,41.9%
1.94,19.0%,1.7%,67.2%,87.2%,57.9%
1.32,4.5%,0.0%,60.6%,65.0%,61.5%
1.56,5.3%,0.0%,57.9%,78.8%,54.2%
1.36,7.0%,3.5%,61.4%,77.1%,45.5%
1.21,11.8%,4.3%,67.7%,82.5%,60.0%
0.98,3.0%,3.0%,52.2%,60.0%,59.4%
1.98,15.4%,1.3%,64.1%,86.0%,75.0%
0.68,0.0%,1.8%,57.1%,53.1%,45.8%
0.86,2.9%,1.0%,58.7%,60.7%,53.5%
1.04,7.3%,1.0%,59.4%,77.2%,56.4%
0.67,5.6%,7.4%,59.3%,56.3%,36.4%
1.19,4.1%,2.7%,62.2%,71.7%,57.1%
0.87,22.4%,2.0%,69.4%,67.6%,53.3%
1.27,3.6%,5.4%,51.8%,69.0%,63.0%
0.84,2.3%,1.1%,65.5%,61.4%,36.7%
0.93,7.5%,1.5%,63.9%,65.9%,54.2%
1.13,10.1%,3.4%,69.7%,75.8%,40.7%
1.16,4.4%,3.3%,60.4%,74.5%,50.0%
0.57,5.6%,1.4%,63.4%,62.2%,38.5%
1.45,3.7%,3.7%,61.1%,75.8%,47.6%
0.90,7.0%,1.8%,68.4%,66.7%,38.9%
1.15,8.0%,2.7%,72.0%,81.5%,52.4%
1.36,4.8%,0.0%,58.7%,75.7%,61.5%
0.87,11.4%,2.3%,67.0%,76.3%,62.1%
0.63,15.1%,1.7%,66.4%,67.1%,55.0%
1.23,7.2%,1.4%,65.2%,82.2%,54.2%
1.05,17.9%,1.3%,64.1%,74.0%,50.0%
0.65,7.6%,3.0%,56.1%,67.6%,41.4%
0.58,4.9%,0.0%,58.3%,61.7%,53.5%
0.87,3.7%,1.9%,63.0%,61.8%,42.5%
1.42,16.1%,1.6%,62.9%,74.4%,56.5%
2.93,0.0%,0.0%,76.3%,86.2%,77.8%
0.79,3.8%,1.0%,54.8%,68.4%,46.8%
0.81,5.3%,0.0%,47.4%,66.7%,40.0%
0.66,0.0%,0.0%,46.2%,50.0%,42.9%
1.11,3.8%,1.3%,57.5%,52.2%,55.9%
0.96,5.6%,0.0%,52.8%,63.2%,43.1%
0.86,11.8%,0.9%,61.8%,66.2%,45.2%
0.62,3.1%,1.5%,66.2%,58.1%,50.0%
1.53,7.1%,2.9%,64.3%,77.8%,60.0%
0.86,5.1%,1.7%,66.1%,53.8%,60.0%
1.06,7.8%,2.2%,66.7%,70.0%,43.3%
