DR,A%,DF%,1stIn,1st%,2nd%
0.79,0.0%,0.0%,64.0%,59.4%,77.8%
1.22,6.7%,1.1%,53.9%,70.8%,48.8%
1.32,3.0%,6.1%,62.1%,63.4%,52.0%
0.94,3.1%,0.0%,68.4%,80.6%,32.3%
1.11,1.0%,1.0%,52.5%,69.8%,41.7%
1.02,4.1%,1.0%,67.3%,66.7%,50.0%
1.64,9.6%,3.8%,71.2%,75.7%,66.7%
0.90,3.1%,3.1%,61.5%,67.5%,44.0%
0.89,5.3%,7.4%,61.7%,62.1%,33.3%
0.83,7.9%,1.8%,64.9%,70.3%,62.5%
0.86,16.7%,5.6%,77.8%,64.3%,50.0%
1.10,3.6%,3.6%,65.5%,74.5%,48.3%
1.20,4.9%,2.5%,50.6%,73.2%,50.0%
0.75,4.3%,1.4%,59.4%,75.6%,32.1%
1.40,7.7%,4.6%,76.9%,70.0%,53.3%
1.21,4.5%,1.5%,70.1%,74.5%,60.0%
1.31,6.3%,0.0%,63.5%,80.0%,56.5%
0.83,5.5%,5.5%,61.6%,66.7%,50.0%
1.68,3.6%,0.0%,67.9%,65.8%,61.1%
1.50,10.1%,1.4%,71.0%,79.6%,70.0%
1.15,1.3%,2.7%,53.3%,62.5%,60.0%
0.98,2.3%,4.5%,61.4%,57.4%,41.2%
1.64,8.9%,1.8%,67.9%,76.3%,72.2%
1.72,8.9%,1.8%,71.4%,80.0%,75.0%
1.22,7.8%,2.6%,57.1%,81.8%,48.5%
1.30,5.6%,0.0%,68.1%,85.7%,69.6%
1.39,7.0%,4.7%,58.1%,76.0%,61.1%
1.77,15.2%,2.2%,73.9%,73.5%,58.3%
1.23,6.0%,2.4%,59.5%,78.0%,50.0%
1.18,11.8%,4.5%,70.0%,79.2%,66.7%
1.25,2.3%,4.5%,60.2%,75.5%,62.9%
1.84,8.0%,4.0%,62.0%,83.9%,63.2%
1.10,5.1%,2.6%,70.5%,69.1%,47.8%
1.45,3.1%,0.0%,63.1%,82.9%,41.7%
1.12,2.2%,2.2%,72.2%,70.8%,40.0%
3.32,18.4%,0.0%,81.6%,93.5%,42.9%
0.95,3.3%,3.3%,57.6%,69.8%,59.0%
0.83,3.7%,6.1%,61.0%,66.0%,46.9%
1.20,8.6%,4.3%,68.6%,77.1%,31.8%
1.69,3.6%,3.6%,56.4%,74.2%,45.8%
0.86,14.5%,1.8%,69.1%,81.6%,47.1%
1.87,21.6%,3.9%,64.7%,84.8%,50.0%
0.94,8.9%,0.9%,60.7%,72.1%,54.5%
1.02,9.3%,1.7%,66.9%,75.9%,59.0%
1.37,8.0%,1.3%,78.7%,69.5%,56.3%
1.25,9.1%,2.6%,63.6%,71.4%,53.6%
