DR,A%,DF%,1stIn,1st%,2nd%
0.91,5.7%,3.8%,67.0%,70.4%,60.0%
0.64,10.7%,0.0%,58.9%,60.6%,39.1%
0.86,3.7%,2.8%,63.3%,60.9%,50.0%
0.76,0.0%,8.3%,55.0%,51.5%,44.4%
1.07,5.5%,1.8%,65.1%,77.5%,50.0%
1.87,15.4%,3.8%,50.0%,88.5%,65.4%
0.93,2.4%,2.4%,57.8%,64.6%,48.6%
0.69,1.9%,0.0%,64.2%,67.6%,52.6%
1.20,7.4%,1.2%,60.5%,69.4%,53.1%
1.21,5.9%,2.9%,61.8%,73.8%,42.3%
1.22,6.3%,6.3%,66.7%,70.3%,46.9%
1.00,4.9%,3.3%,65.6%,65.0%,52.4%
0.84,0.0%,3.4%,55.9%,72.7%,46.2%
1.16,2.8%,5.6%,60.6%,67.4%,53.6%
1.24,6.8%,6.8%,59.5%,77.3%,50.0%
1.40,3.2%,3.2%,58.7%,81.1%,50.0%
1.13,8.1%,6.1%,58.6%,86.2%,56.1%
0.77,1.3%,3.8%,60.0%,75.0%,46.9%
1.83,16.9%,3.4%,62.7%,81.1%,72.7%
1.24,7.1%,1.4%,70.0%,71.4%,61.9%
0.90,4.8%,3.8%,63.5%,72.7%,52.6%
0.95,3.0%,9.0%,63.0%,66.7%,45.9%
0.99,5.1%,5.1%,61.2%,71.7%,47.4%
0.94,6.5%,3.2%,61.3%,77.2%,55.6%
0.95,18.0%,4.0%,65.0%,75.4%,42.9%
0.75,12.4%,3.0%,63.9%,74.1%,50.8%
2.35,13.0%,0.0%,65.2%,90.0%,81.3%
1.16,16.7%,1.4%,65.3%,87.2%,52.0%
1.24,15.6%,5.2%,62.3%,81.3%,62.1%
0.28,8.6%,5.7%,62.9%,59.1%,23.1%
0.64,9.4%,1.9%,60.4%,75.0%,52.4%
0.96,16.7%,3.3%,63.3%,77.2%,69.7%
2.69,4.5%,0.0%,56.8%,80.0%,89.5%
0.77,4.4%,4.4%,60.3%,65.9%,48.1%
1.76,9.8%,3.9%,66.7%,73.5%,70.6%
1.75,12.8%,6.4%,59.6%,85.7%,42.1%
0.84,10.3%,2.1%,64.9%,82.5%,52.9%
1.26,6.4%,1.3%,60.3%,80.9%,61.3%
1.44,8.8%,1.8%,69.3%,75.9%,80.0%
0.76,6.5%,1.9%,67.6%,69.9%,51.4%
0.77,13.6%,2.7%,67.3%,78.4%,41.7%
0.44,0.0%,7.0%,61.4%,74.3%,22.7%
1.74,9.8%,3.3%,63.9%,89.7%,59.1%
3.72,13.3%,0.0%,62.2%,89.3%,88.2%
0.92,3.8%,1.9%,62.5%,78.5%,64.1%
0.61,13.4%,0.0%,65.7%,68.2%,78.3%
1.15,8.1%,1.6%,73.4%,72.5%,60.6%
0.93,2.0%,0.0%,67.7%,67.2%,53.1%
1.45,4.3%,3.2%,64.5%,80.0%,57.6%
1.10,1.4%,1.4%,67.6%,68.0%,45.8%
0.70,6.7%,6.7%,65.6%,62.7%,51.6%
0.72,7.7%,3.8%,73.1%,65.8%,64.3%
0.65,7.4%,5.9%,66.2%,73.3%,47.8%
0.99,6.5%,3.3%,62.0%,70.2%,51.4%
0.83,7.1%,3.6%,67.9%,64.9%,48.1%
1.71,3.9%,2.0%,62.7%,78.1%,68.4%
2.15,2.3%,2.3%,65.1%,85.7%,60.0%
1.07,12.7%,5.5%,61.8%,76.5%,52.4%
3.61,6.1%,3.0%,57.6%,84.2%,85.7%
1.55,6.0%,6.0%,52.2%,91.4%,56.3%
1.35,3.1%,4.7%,59.4%,76.3%,53.8%
0.50,6.0%,3.4%,59.8%,74.3%,66.0%
0.66,11.3%,1.9%,73.6%,69.2%,35.7%
1.62,7.9%,4.8%,49.2%,93.5%,53.1%
0.55,8.1%,3.6%,70.3%,60.3%,45.5%
1.56,0.0%,5.7%,62.3%,81.8%,65.0%
1.27,5.8%,7.2%,73.9%,84.3%,61.1%
1.84,8.5%,0.0%,70.2%,72.7%,78.6%
0.94,9.1%,4.5%,57.6%,71.1%,64.3%
1.23,5.3%,2.1%,67.0%,81.0%,45.2%
1.87,4.3%,2.1%,59.6%,82.1%,57.9%
1.73,12.7%,0.0%,70.9%,79.5%,75.0%
1.30,1.9%,0.0%,77.4%,78.0%,66.7%
1.41,5.5%,1.8%,69.1%,78.9%,47.1%
0.80,3.9%,2.6%,67.5%,69.2%,56.0%
1.48,6.5%,0.0%,88.7%,76.4%,57.1%
2.00,6.0%,2.0%,70.0%,88.6%,66.7%
0.91,3.5%,3.5%,67.4%,72.4%,46.4%
1.20,2.5%,2.5%,75.0%,85.0%,45.0%
0.92,4.5%,2.3%,70.5%,67.7%,69.2%
0.74,3.9%,5.3%,56.6%,67.4%,54.5%
1.79,0.0%,2.0%,55.1%,66.7%,86.4%
0.98,5.8%,2.3%,59.3%,62.7%,74.3%
0.93,10.0%,2.0%,68.0%,77.9%,65.6%
0.84,1.3%,2.6%,63.2%,62.5%,53.6%
