DR,A%,DF%,1stIn,1st%,2nd%
0.74,4.8%,4.8%,69.8%,68.2%,26.3%
1.77,6.5%,0.0%,76.1%,77.1%,54.5%
1.20,0.0%,3.1%,56.1%,69.1%,51.2%
0.72,1.7%,3.4%,55.2%,50.0%,46.2%
0.85,1.2%,1.2%,44.6%,62.2%,50.0%
0.70,1.5%,1.5%,70.1%,66.0%,40.0%
1.37,0.0%,2.0%,72.0%,72.2%,50.0%
1.21,9.0%,3.8%,64.1%,74.0%,42.9%
1.66,5.8%,1.9%,61.5%,78.1%,65.0%
0.69,4.6%,3.1%,53.8%,60.0%,40.0%
1.58,17.6%,2.9%,61.8%,85.7%,38.5%
0.74,4.8%,3.2%,53.2%,48.5%,51.7%
0.83,6.1%,6.8%,54.5%,68.1%,53.3%
1.15,2.3%,0.0%,59.1%,69.2%,52.8%
0.68,9.4%,0.0%,67.9%,55.6%,41.2%
1.51,10.5%,3.5%,63.2%,72.2%,47.6%
1.02,6.1%,2.0%,58.6%,69.0%,46.3%
0.51,1.5%,1.5%,60.0%,56.4%,57.7%
1.30,11.5%,3.3%,63.9%,79.5%,50.0%
1.96,9.1%,4.5%,75.0%,84.8%,45.5%
1.14,6.7%,1.3%,68.0%,80.4%,45.8%
0.94,15.9%,2.4%,63.4%,69.2%,53.3%
0.91,5.3%,5.3%,64.5%,61.2%,51.9%
0.76,3.5%,5.3%,64.9%,45.9%,45.0%
1.07,11.8%,2.6%,52.6%,80.0%,52.8%
1.16,10.3%,8.6%,53.4%,83.9%,51.9%
0.54,4.9%,4.9%,62.3%,60.5%,52.2%
1.12,1.6%,9.4%,51.6%,72.7%,51.6%
0.75,4.1%,2.0%,46.9%,47.8%,57.7%
0.76,5.7%,3.4%,46.0%,70.0%,48.9%
0.99,3.3%,1.1%,63.3%,61.4%,57.6%
0.63,4.3%,2.2%,47.8%,54.5%,41.7%
0.58,2.3%,0.0%,70.5%,64.5%,46.2%
1.52,14.0%,1.2%,66.3%,78.9%,62.1%
1.17,13.8%,0.0%,66.7%,62.1%,55.2%
1.49,7.5%,1.9%,77.4%,68.3%,66.7%
0.80,6.8%,5.1%,64.4%,68.4%,23.8%
1.26,8.2%,1.6%,65.6%,72.5%,57.1%
1.27,12.9%,6.5%,72.6%,80.0%,41.2%
1.26,10.9%,1.6%,68.8%,70.5%,50.0%
1.08,10.5%,4.2%,67.4%,75.0%,35.5%
0.44,8.3%,2.8%,58.3%,61.9%,40.0%
1.48,7.1%,1.8%,57.1%,75.0%,58.3%
0.73,7.7%,6.2%,70.8%,65.2%,21.1%
1.47,10.5%,1.8%,70.2%,65.0%,76.5%
1.26,12.1%,1.7%,74.1%,58.1%,60.0%
1.02,4.1%,2.7%,64.9%,66.7%,65.4%
0.95,6.5%,3.3%,65.2%,70.0%,59.4%
2.01,11.6%,2.3%,62.8%,88.9%,56.3%
0.63,3.6%,7.3%,58.2%,56.3%,34.8%
0.56,8.5%,6.4%,72.3%,58.8%,23.1%
1.19,11.8%,2.9%,63.2%,81.4%,44.0%
0.60,4.2%,5.6%,59.2%,78.6%,41.4%
0.43,1.7%,5.0%,65.0%,61.5%,52.4%
1.56,11.4%,4.3%,72.9%,80.4%,68.4%
0.80,4.9%,3.9%,66.0%,63.2%,51.4%
1.05,6.1%,1.8%,63.2%,72.2%,52.4%
0.57,14.5%,5.8%,58.0%,70.0%,58.6%
1.02,11.1%,1.4%,66.7%,66.7%,54.2%
0.72,10.2%,15.3%,49.2%,69.0%,33.3%
1.09,18.6%,4.3%,70.0%,75.5%,61.9%
1.34,7.5%,9.0%,56.7%,81.6%,44.8%
1.49,22.2%,9.5%,60.3%,81.6%,64.0%
1.29,4.5%,4.5%,71.6%,77.1%,68.4%
0.62,19.7%,5.3%,57.9%,77.3%,43.8%
1.58,11.5%,3.8%,65.4%,82.4%,66.7%
0.76,4.0%,1.0%,63.4%,56.3%,59.5%
0.70,5.9%,1.2%,61.2%,51.9%,57.6%
1.96,6.8%,2.3%,63.6%,78.6%,68.8%
0.66,9.2%,2.6%,67.1%,66.7%,52.0%
1.66,8.0%,6.0%,58.0%,65.5%,66.7%
1.01,3.4%,2.2%,66.3%,67.8%,56.7%
1.14,0.0%,3.4%,77.6%,66.7%,69.2%
2.91,16.3%,0.0%,67.4%,79.3%,92.9%
0.89,10.0%,3.3%,51.1%,73.9%,43.2%
0.77,4.2%,0.0%,64.6%,64.5%,52.9%
1.16,4.4%,1.1%,66.7%,73.3%,46.7%
1.11,4.3%,5.7%,55.7%,61.5%,67.7%
1.24,7.8%,5.6%,55.6%,74.0%,47.5%
0.88,4.4%,2.9%,58.8%,72.5%,60.7%
0.96,4.5%,1.1%,59.6%,62.3%,61.1%
0.58,3.8%,5.7%,56.6%,60.0%,30.4%
1.19,4.3%,5.7%,64.3%,55.6%,64.0%
1.14,9.2%,4.6%,53.8%,71.4%,43.3%
2.38,0.0%,2.1%,66.0%,80.6%,68.8%
1.25,2.9%,4.3%,65.7%,76.1%,54.2%
0.84,1.7%,3.3%,53.3%,65.6%,46.4%
1.10,9.4%,0.0%,67.2%,69.8%,61.9%
0.94,10.7%,2.4%,57.1%,70.8%,44.4%
0.65,6.6%,1.6%,52.5%,68.8%,41.4%
1.77,14.9%,10.6%,42.6%,95.0%,55.6%
1.00,5.3%,6.7%,56.0%,57.1%,51.5%
1.43,5.9%,11.8%,54.9%,82.1%,39.1%
0.58,15.7%,5.9%,60.8%,64.5%,50.0%
0.78,7.7%,6.2%,55.4%,66.7%,37.9%
0.70,4.0%,8.0%,56.0%,60.7%,36.4%
1.30,6.3%,4.8%,71.4%,71.1%,55.6%
1.06,8.5%,6.6%,62.3%,69.7%,32.5%
0.85,7.8%,6.7%,45.6%,68.3%,44.9%
1.08,13.2%,4.4%,71.4%,70.8%,34.6%
1.08,7.1%,2.4%,51.2%,81.4%,53.7%
0.72,5.3%,6.6%,65.8%,60.0%,42.3%
1.58,13.5%,0.0%,71.2%,73.0%,46.7%
1.10,4.7%,2.3%,60.5%,67.3%,70.6%
0.70,3.7%,6.1%,57.3%,70.2%,68.6%
0.93,9.3%,2.8%,62.0%,70.1%,46.3%
1.49,5.5%,5.5%,58.2%,90.6%,47.8%
2.27,16.7%,4.8%,71.4%,76.7%,66.7%
0.42,0.0%,3.7%,55.6%,50.0%,33.3%
0.53,4.4%,0.0%,63.2%,67.4%,56.0%
1.01,9.1%,0.8%,62.8%,68.4%,57.8%
0.89,6.6%,1.1%,70.3%,62.5%,44.4%
1.59,7.5%,0.0%,69.8%,81.1%,68.8%
1.10,5.9%,1.2%,55.3%,63.8%,52.6%
0.62,7.5%,7.5%,62.7%,76.2%,48.0%
0.92,7.1%,3.1%,58.2%,64.9%,46.3%
0.46,2.4%,2.4%,48.8%,40.0%,38.1%
0.91,6.6%,2.6%,68.4%,69.2%,45.8%
1.32,9.6%,4.1%,61.6%,84.4%,50.0%
0.83,3.1%,4.2%,63.5%,72.1%,54.3%
0.96,4.0%,6.1%,56.6%,83.9%,39.5%
0.75,6.0%,2.4%,65.1%,66.7%,41.4%
1.16,14.3%,4.3%,61.4%,74.4%,51.9%
1.19,10.1%,2.5%,60.8%,66.7%,54.8%
