DR,A%,DF%,1stIn,1st%,2nd%
1.10,4.2%,5.3%,66.3%,68.3%,46.9%
1.14,2.3%,2.3%,68.4%,65.9%,35.7%
1.27,3.5%,1.2%,77.6%,63.6%,52.6%
1.80,9.1%,2.3%,63.6%,75.0%,62.5%
3.39,5.4%,8.1%,56.8%,100.0%,68.8%
1.04,2.9%,5.8%,61.2%,68.3%,52.5%
1.10,0.0%,2.1%,67.0%,53.8%,65.6%
1.27,7.1%,7.1%,61.6%,73.8%,50.0%
1.05,4.7%,5.9%,64.7%,65.5%,46.7%
2.25,2.6%,5.3%,50.0%,73.7%,68.4%
0.67,2.7%,2.7%,53.3%,52.5%,51.4%
0.95,5.4%,2.7%,55.9%,74.2%,38.8%
0.98,1.8%,2.7%,65.5%,67.6%,41.0%
1.85,9.8%,2.0%,58.8%,86.7%,66.7%
0.84,6.1%,3.0%,62.6%,64.5%,45.9%
1.59,12.7%,0.0%,54.5%,70.0%,68.0%
1.13,2.9%,1.5%,61.8%,64.3%,53.8%
2.62,2.8%,5.6%,50.0%,77.8%,77.8%
0.74,5.2%,0.0%,74.1%,72.1%,40.0%
0.53,7.9%,6.6%,52.6%,57.5%,41.7%
1.17,1.4%,2.7%,57.5%,64.3%,58.1%
0.77,2.0%,2.0%,52.9%,55.6%,58.3%
1.10,10.3%,2.3%,66.7%,67.2%,58.6%
0.88,6.3%,3.1%,45.3%,62.1%,57.1%
0.47,3.2%,4.8%,64.5%,50.0%,31.8%
2.43,11.3%,3.2%,54.8%,88.2%,71.4%
1.73,6.5%,4.3%,71.7%,75.8%,53.8%
0.85,3.3%,2.2%,64.4%,63.8%,46.9%
1.75,11.6%,0.0%,79.1%,79.4%,33.3%
0.89,2.4%,3.7%,63.4%,67.3%,56.7%
0.78,4.8%,4.8%,56.0%,61.7%,48.6%
1.35,4.9%,3.3%,60.7%,73.0%,50.0%
1.07,6.4%,3.2%,60.6%,71.9%,43.2%
1.51,10.3%,4.6%,50.6%,81.8%,62.8%
1.39,16.1%,4.8%,74.2%,73.9%,56.3%
1.11,6.6%,3.3%,75.8%,76.8%,54.5%
0.65,2.0%,2.0%,66.7%,44.1%,52.9%
0.94,4.9%,4.9%,58.3%,61.7%,48.8%
0.63,4.2%,4.2%,66.7%,68.8%,31.3%
1.41,9.8%,9.8%,45.9%,85.7%,57.6%
0.90,1.1%,7.4%,67.0%,69.8%,45.2%
0.86,0.9%,8.5%,48.7%,63.2%,41.7%
1.21,14.9%,4.6%,50.6%,77.3%,55.8%
1.25,6.0%,4.8%,53.6%,82.2%,53.8%
0.66,15.2%,2.2%,63.0%,77.6%,47.1%
1.65,17.6%,3.5%,55.3%,85.1%,60.5%
1.37,9.7%,6.9%,63.9%,67.4%,57.7%
0.99,5.4%,7.6%,51.1%,72.3%,42.2%
0.92,4.2%,4.2%,56.8%,72.2%,63.4%
0.97,4.1%,7.2%,52.6%,66.7%,60.9%
1.27,5.8%,7.7%,71.2%,70.3%,53.3%
0.97,1.3%,6.7%,56.0%,69.0%,42.4%
1.04,13.9%,4.3%,60.9%,72.9%,46.7%
0.70,4.8%,6.3%,65.1%,58.5%,45.5%
0.66,3.6%,1.8%,58.9%,81.8%,47.8%
1.28,3.1%,0.0%,55.4%,63.9%,75.9%
1.35,3.7%,2.5%,60.5%,67.3%,56.3%
1.57,7.8%,3.1%,68.8%,79.5%,65.0%
0.88,5.7%,1.1%,73.6%,67.2%,43.5%
1.05,3.1%,4.1%,63.3%,69.4%,50.0%
0.92,1.1%,3.4%,68.2%,61.7%,50.0%
1.04,3.2%,5.3%,64.2%,77.0%,32.4%
0.74,2.0%,4.0%,68.0%,50.0%,56.3%
1.09,3.4%,1.1%,72.4%,68.3%,45.8%
1.00,0.8%,4.6%,68.7%,54.4%,48.8%
0.68,8.5%,2.1%,72.3%,67.6%,61.5%
0.93,5.4%,3.2%,66.7%,59.7%,48.4%
1.28,1.5%,5.9%,61.8%,64.3%,53.8%
0.91,3.0%,6.9%,54.5%,58.2%,52.2%
0.74,3.8%,3.8%,56.4%,68.2%,47.1%
0.84,3.4%,10.2%,61.0%,75.0%,30.4%
0.98,1.7%,8.7%,57.4%,69.7%,44.9%
1.12,4.7%,1.6%,62.5%,75.0%,41.7%
0.68,2.3%,2.3%,72.1%,54.8%,8.3%
0.94,8.8%,6.8%,55.4%,67.1%,48.5%
0.85,13.6%,5.1%,66.1%,66.7%,70.0%
1.55,17.5%,3.2%,68.3%,81.4%,60.0%
2.19,22.0%,7.3%,70.7%,79.3%,66.7%
0.85,2.6%,7.7%,59.0%,65.2%,52.1%
1.21,4.8%,4.8%,57.8%,77.1%,57.1%
1.17,10.7%,2.9%,51.5%,69.8%,56.0%
1.23,11.7%,2.6%,59.7%,69.6%,64.5%
0.70,6.6%,4.9%,62.3%,68.4%,21.7%
1.17,7.9%,0.0%,65.8%,74.0%,61.5%
0.48,2.3%,11.4%,56.8%,68.0%,26.3%
1.54,3.6%,7.1%,55.4%,83.9%,56.0%
1.02,7.9%,11.8%,55.3%,71.4%,55.9%
1.22,9.9%,11.1%,50.6%,87.8%,52.5%
0.94,5.4%,2.2%,62.0%,73.7%,45.7%
1.19,19.1%,0.0%,84.3%,76.0%,57.1%
0.79,3.8%,9.6%,67.3%,62.9%,41.2%
0.97,6.9%,2.0%,59.4%,70.0%,41.5%
1.12,3.8%,2.5%,56.3%,73.3%,51.4%
1.15,4.7%,9.4%,59.4%,78.9%,46.2%
0.92,3.8%,2.6%,70.5%,78.2%,39.1%
0.95,0.0%,3.3%,65.0%,64.1%,47.6%
1.30,3.6%,2.4%,67.5%,69.6%,59.3%
1.02,0.0%,2.0%,72.5%,60.8%,53.6%
1.91,0.0%,2.2%,73.3%,84.8%,50.0%
0.59,2.0%,4.1%,59.2%,58.6%,25.0%
1.16,3.1%,0.0%,60.0%,79.5%,50.0%
1.02,4.8%,7.2%,62.7%,63.5%,48.4%
1.17,3.9%,1.0%,70.6%,65.3%,60.0%
1.13,1.4%,5.5%,60.3%,63.6%,58.6%
3.16,8.7%,0.0%,73.9%,88.2%,83.3%
0.68,4.6%,3.1%,53.8%,62.9%,40.0%
0.41,0.0%,2.6%,55.3%,66.7%,47.1%
1.11,1.0%,3.0%,73.7%,58.9%,57.7%
0.93,0.0%,3.4%,53.4%,66.1%,53.7%
0.34,2.5%,3.7%,75.3%,59.0%,40.0%
1.03,3.4%,2.6%,62.9%,72.6%,60.5%
1.27,12.5%,1.6%,70.3%,84.4%,47.4%
0.76,1.7%,8.6%,62.1%,58.3%,40.9%
1.10,0.0%,5.5%,61.6%,71.1%,53.6%
1.29,3.7%,5.6%,55.6%,80.0%,41.7%
0.92,3.6%,3.6%,65.5%,67.3%,51.7%
1.03,5.6%,2.2%,64.4%,65.5%,62.5%
3.47,18.2%,0.0%,48.5%,93.8%,76.5%
0.96,8.0%,1.1%,65.5%,77.2%,46.7%
1.29,5.5%,4.1%,65.8%,70.8%,40.0%
0.93,3.4%,3.4%,58.4%,75.0%,54.1%
1.22,8.5%,5.6%,59.2%,81.0%,41.4%
1.71,20.8%,0.0%,67.9%,80.6%,70.6%
0.79,1.8%,3.6%,64.3%,63.9%,40.0%
1.17,6.4%,3.8%,57.7%,80.0%,51.5%
1.62,17.0%,2.1%,68.1%,81.3%,53.3%
1.37,4.8%,11.3%,56.5%,82.9%,48.1%
1.62,9.8%,2.0%,56.9%,72.4%,63.6%
1.16,6.7%,3.4%,64.0%,66.7%,43.8%
0.41,4.7%,1.6%,56.3%,72.2%,46.4%
1.98,7.1%,0.0%,64.3%,83.3%,75.0%
0.82,10.5%,3.9%,61.8%,57.4%,34.5%
0.88,2.6%,3.9%,59.2%,66.7%,54.8%
1.13,6.0%,6.0%,53.6%,68.9%,53.8%
0.81,4.9%,1.9%,51.5%,66.0%,54.0%
1.09,3.8%,2.6%,69.2%,68.5%,45.8%
1.14,3.8%,5.1%,62.0%,69.4%,56.7%
1.79,4.0%,2.0%,70.0%,80.0%,53.3%
1.60,3.9%,5.9%,56.9%,72.4%,68.2%
0.36,5.9%,3.9%,64.7%,57.6%,50.0%
0.56,0.0%,7.3%,49.1%,63.0%,39.3%
1.29,4.5%,6.0%,68.7%,76.1%,52.4%
0.73,3.2%,0.0%,69.4%,62.8%,42.1%
0.30,2.3%,0.0%,72.7%,46.9%,33.3%
0.60,1.7%,1.7%,64.1%,58.7%,42.9%
1.08,4.4%,3.7%,52.2%,70.4%,56.9%
0.86,0.0%,3.0%,62.1%,63.4%,44.0%
0.77,1.6%,6.6%,60.7%,64.9%,50.0%
0.99,2.3%,5.7%,71.6%,68.3%,52.0%
0.99,2.9%,5.1%,60.6%,67.0%,47.8%
1.10,3.5%,3.5%,53.9%,72.6%,45.3%
1.97,7.4%,5.9%,61.8%,85.7%,53.8%
1.65,4.9%,1.2%,63.4%,78.8%,60.0%
0.68,3.5%,5.3%,59.6%,58.8%,39.1%
0.66,3.6%,5.4%,58.9%,60.6%,43.5%
0.85,2.9%,2.2%,67.4%,62.4%,60.0%
1.15,2.5%,2.5%,61.2%,74.3%,59.6%
1.32,1.9%,1.9%,71.7%,69.7%,50.0%
0.78,1.6%,4.7%,67.2%,67.4%,23.8%
1.01,0.9%,5.2%,62.1%,58.3%,52.3%
1.17,0.0%,8.5%,57.6%,67.6%,52.0%
1.39,1.9%,3.7%,64.8%,65.7%,42.1%
0.64,2.1%,4.2%,60.4%,58.6%,26.3%
1.63,13.0%,0.0%,60.9%,85.7%,38.9%
0.83,1.7%,5.0%,68.3%,58.5%,36.8%
0.74,0.0%,8.1%,59.7%,54.1%,24.0%
0.89,3.7%,2.4%,70.7%,72.4%,62.5%
1.15,3.4%,1.7%,71.2%,65.5%,41.2%
1.16,1.1%,2.2%,66.3%,67.8%,60.0%
1.16,6.0%,7.2%,57.8%,79.2%,51.4%
0.77,0.0%,1.5%,59.7%,52.5%,44.4%
0.58,7.8%,5.9%,54.9%,67.9%,30.4%
0.43,1.9%,9.3%,53.7%,55.2%,32.0%
0.77,2.5%,4.9%,59.3%,58.3%,27.3%
0.73,4.3%,6.5%,63.4%,59.3%,38.2%
0.95,6.1%,4.4%,61.7%,66.7%,49.3%
1.25,5.8%,4.1%,55.8%,72.9%,64.5%
1.03,4.3%,1.1%,64.1%,61.0%,42.4%
0.62,5.6%,3.7%,66.7%,63.9%,44.4%
0.58,2.0%,5.9%,49.0%,56.0%,34.6%
0.91,4.9%,1.2%,64.6%,69.8%,48.3%
0.81,1.7%,0.0%,67.8%,45.0%,52.6%
1.57,8.8%,7.0%,57.9%,81.8%,54.2%
2.10,4.3%,0.0%,67.4%,80.6%,80.0%
0.29,7.7%,0.0%,74.4%,48.3%,10.0%
0.90,3.8%,0.8%,65.2%,66.3%,47.8%
1.28,5.1%,3.4%,64.4%,80.3%,50.0%
0.92,1.1%,3.3%,59.3%,59.3%,54.1%
0.71,4.0%,3.0%,62.6%,71.0%,48.6%
1.01,7.9%,4.0%,49.5%,70.0%,56.9%
3.93,11.8%,0.0%,64.7%,86.4%,83.3%
0.83,3.1%,7.2%,58.8%,61.4%,37.5%
1.73,9.6%,3.8%,61.5%,75.0%,65.0%
0.40,2.4%,5.9%,56.5%,56.3%,45.9%
1.29,13.9%,1.9%,61.1%,75.8%,57.1%
1.05,8.0%,0.7%,57.3%,68.6%,53.1%
1.23,9.0%,2.6%,73.1%,78.1%,42.9%
0.58,0.0%,3.3%,64.1%,55.9%,42.4%
1.36,1.9%,1.0%,65.7%,69.6%,52.8%
0.96,5.9%,2.2%,66.7%,71.8%,48.4%
1.07,5.4%,3.1%,63.6%,64.6%,46.8%
0.76,4.5%,3.4%,59.6%,58.5%,44.4%
1.65,0.0%,1.8%,58.9%,72.7%,69.6%
0.73,5.4%,5.4%,55.4%,64.7%,43.9%
1.32,6.4%,1.1%,56.4%,75.5%,65.9%
1.30,4.4%,4.4%,52.9%,80.6%,43.8%
1.54,1.5%,1.5%,63.1%,68.3%,70.8%
0.84,2.9%,2.0%,56.9%,72.4%,43.2%
1.00,0.0%,5.8%,53.5%,63.0%,50.0%
0.58,2.6%,0.0%,61.8%,59.6%,44.8%
1.47,0.0%,0.0%,52.8%,64.3%,68.0%
1.46,2.9%,7.1%,60.0%,76.2%,60.7%
1.04,6.7%,1.9%,53.8%,67.9%,58.3%
1.13,13.3%,1.9%,64.8%,70.6%,59.5%
1.31,14.8%,9.3%,66.7%,80.6%,38.9%
1.43,6.8%,0.0%,71.2%,73.8%,47.1%
1.77,15.4%,1.9%,65.4%,79.4%,55.6%
0.82,1.3%,6.7%,70.7%,47.2%,31.8%
0.70,4.2%,4.2%,62.0%,59.1%,40.7%
0.51,6.4%,6.4%,51.1%,75.0%,39.1%
1.03,5.7%,1.0%,62.9%,74.2%,64.1%
0.76,0.9%,4.3%,62.1%,58.3%,40.9%
1.38,9.3%,4.7%,57.4%,78.4%,50.9%
1.17,5.9%,3.4%,61.3%,72.6%,56.5%
0.91,3.2%,5.4%,74.2%,71.0%,37.5%
1.04,3.4%,5.7%,62.5%,67.3%,69.7%
1.48,8.3%,3.3%,65.0%,76.9%,52.4%
1.47,1.7%,6.8%,72.9%,76.7%,25.0%
0.86,5.8%,15.9%,56.5%,61.5%,40.0%
0.85,8.3%,4.8%,54.5%,65.8%,39.4%
1.21,10.7%,5.0%,67.1%,78.7%,50.0%
0.81,6.5%,11.3%,51.6%,64.1%,36.7%
0.75,5.3%,7.0%,68.4%,59.0%,33.3%
0.97,2.9%,5.8%,58.7%,57.4%,41.9%
1.06,9.8%,0.0%,75.6%,62.9%,65.0%
1.25,3.3%,8.2%,60.7%,78.4%,37.5%
1.08,4.3%,7.4%,57.4%,75.9%,37.5%
1.67,12.2%,2.0%,57.1%,82.1%,61.9%
1.15,2.9%,4.8%,55.8%,75.9%,50.0%
1.07,2.4%,3.7%,63.4%,67.3%,33.3%
1.07,1.3%,2.5%,64.6%,68.6%,50.0%
0.99,6.0%,2.4%,62.7%,67.3%,58.1%
2.49,5.4%,5.4%,56.8%,81.0%,75.0%
0.54,2.9%,4.3%,77.1%,64.8%,43.8%
1.44,4.3%,1.1%,69.9%,72.3%,67.9%
0.97,7.3%,5.2%,51.0%,79.6%,53.2%
0.72,12.5%,6.3%,52.1%,68.0%,47.8%
0.84,7.5%,3.8%,54.7%,75.9%,45.8%
0.39,0.0%,6.9%,60.3%,54.3%,39.1%
1.06,9.2%,0.8%,69.2%,75.6%,62.5%
0.58,1.8%,3.6%,64.3%,47.2%,35.0%
0.76,1.8%,3.6%,64.3%,63.9%,35.0%
1.15,13.1%,1.0%,73.7%,80.8%,57.7%
1.09,7.9%,2.6%,59.2%,82.2%,71.0%
2.14,4.0%,4.0%,58.0%,96.6%,61.9%
1.64,2.9%,1.4%,73.9%,92.2%,88.9%
0.98,4.9%,7.4%,57.4%,71.4%,48.1%
0.60,2.1%,4.2%,62.5%,56.7%,55.6%
1.98,11.1%,0.0%,75.6%,79.4%,63.6%
0.61,6.8%,3.4%,54.2%,68.8%,48.1%
0.66,3.3%,5.0%,48.3%,72.4%,41.9%
0.98,9.3%,1.2%,62.8%,68.5%,68.8%
1.96,7.8%,0.0%,60.8%,80.6%,65.0%
0.69,4.7%,7.5%,52.3%,64.3%,47.1%
1.01,9.0%,5.4%,61.7%,71.8%,53.1%
0.63,6.4%,10.6%,55.3%,65.4%,33.3%
0.41,3.2%,4.8%,57.1%,66.7%,37.0%
1.24,7.8%,9.4%,57.8%,89.2%,44.4%
1.36,1.6%,0.0%,68.3%,74.4%,55.0%
0.95,3.8%,3.8%,51.2%,68.3%,56.4%
0.88,3.1%,4.6%,60.0%,61.5%,38.5%
0.81,11.9%,1.5%,59.7%,65.0%,44.4%
0.72,4.7%,2.9%,58.5%,64.0%,42.3%
