DR,A%,DF%,1stIn,1st%,2nd%
0.58,0.0%,2.8%,63.9%,56.5%,38.5%
1.62,1.8%,3.6%,81.8%,71.1%,60.0%
1.07,2.4%,1.2%,76.2%,64.1%,55.0%
1.42,3.7%,5.6%,68.5%,70.3%,47.1%
1.70,2.6%,2.6%,71.8%,71.4%,54.5%
0.86,3.0%,3.0%,80.3%,62.3%,38.5%
0.84,1.1%,3.4%,60.2%,64.2%,48.6%
0.93,3.2%,1.6%,69.4%,60.5%,52.6%
0.92,2.2%,10.9%,67.4%,56.5%,36.7%
1.03,4.1%,4.1%,77.3%,69.3%,31.8%
1.23,0.0%,4.9%,70.4%,66.7%,50.0%
0.90,0.9%,3.5%,77.2%,55.7%,46.2%
1.22,2.2%,5.6%,64.4%,70.7%,37.5%
1.68,3.9%,3.9%,60.8%,80.6%,60.0%
1.38,6.7%,2.2%,62.2%,73.2%,67.6%
2.06,17.1%,4.9%,75.6%,80.6%,50.0%
1.26,9.1%,10.6%,59.1%,76.9%,40.7%
0.71,4.2%,7.0%,66.2%,59.6%,41.7%
0.96,10.0%,6.0%,65.0%,78.5%,40.0%
0.95,11.2%,1.7%,70.7%,61.0%,47.1%
2.23,6.9%,1.7%,69.0%,90.0%,66.7%
1.09,9.1%,1.5%,77.3%,78.4%,26.7%
0.81,4.5%,9.0%,53.7%,58.3%,51.6%
0.32,13.7%,3.9%,68.6%,54.3%,43.8%
0.98,5.6%,4.2%,67.6%,64.6%,65.2%
1.27,10.5%,1.3%,75.0%,68.4%,57.9%
1.57,15.1%,4.1%,61.6%,86.7%,50.0%
0.70,7.8%,3.9%,66.2%,70.6%,38.5%
0.87,6.0%,2.0%,62.0%,77.4%,47.4%
0.92,11.0%,0.8%,68.6%,72.8%,48.6%
0.90,2.7%,0.0%,74.3%,60.0%,52.6%
1.48,6.5%,1.6%,66.1%,80.5%,57.1%
1.29,1.5%,1.5%,79.1%,77.4%,42.9%
0.56,4.9%,2.4%,51.2%,61.9%,40.0%
1.79,6.1%,4.1%,67.3%,84.8%,43.8%
2.21,6.7%,0.0%,71.1%,84.4%,69.2%
0.60,8.7%,10.9%,67.4%,64.5%,13.3%
1.15,4.8%,6.0%,67.9%,71.9%,51.9%
1.77,4.9%,0.0%,63.4%,73.1%,60.0%
0.89,6.2%,0.0%,70.4%,61.4%,79.2%
0.69,4.4%,10.3%,55.9%,68.4%,43.3%
1.37,3.4%,12.1%,60.3%,62.9%,39.1%
0.76,3.2%,3.2%,63.2%,70.0%,34.3%
0.58,3.0%,4.5%,68.2%,62.2%,42.9%
1.01,3.4%,6.7%,61.8%,58.2%,52.9%
2.14,7.7%,5.1%,66.7%,80.8%,61.5%
0.65,0.0%,3.4%,67.2%,74.4%,31.6%
0.93,6.0%,3.6%,53.0%,65.9%,48.7%
0.57,0.0%,6.8%,65.9%,34.5%,46.7%
1.70,3.6%,0.0%,72.7%,67.5%,66.7%
0.85,10.7%,6.7%,58.7%,75.0%,61.3%
1.39,2.0%,10.2%,51.0%,76.0%,45.8%
0.91,1.7%,6.8%,62.7%,67.6%,40.9%
0.65,1.6%,8.2%,72.1%,54.5%,52.9%
0.82,7.0%,8.0%,69.0%,59.4%,45.2%
0.85,3.8%,6.7%,67.6%,66.2%,38.2%
0.88,3.8%,7.5%,64.2%,76.5%,55.3%
1.34,5.9%,4.7%,69.4%,74.6%,57.7%
0.65,1.6%,12.5%,62.5%,52.5%,37.5%
0.99,0.0%,14.1%,63.6%,58.7%,41.7%
0.80,2.0%,4.1%,67.3%,51.5%,43.8%
1.36,5.1%,6.8%,54.2%,68.8%,63.0%
1.07,2.5%,5.0%,56.7%,69.1%,44.2%
0.84,2.7%,8.1%,55.4%,70.7%,30.3%
1.20,2.5%,3.8%,48.1%,78.9%,51.2%
1.12,1.0%,8.3%,56.3%,72.2%,35.7%
1.14,2.0%,8.1%,56.6%,62.5%,41.9%
0.93,1.3%,1.3%,57.9%,72.7%,62.5%
0.90,1.7%,3.3%,71.9%,64.4%,44.1%
1.11,0.9%,3.7%,68.8%,69.3%,47.1%
0.48,3.1%,9.4%,59.4%,52.6%,30.8%
1.21,0.0%,3.0%,61.2%,68.3%,38.5%
0.87,2.3%,4.7%,68.6%,62.7%,51.9%
0.77,1.3%,1.3%,72.0%,55.6%,42.9%
1.22,8.1%,0.0%,68.9%,88.2%,39.1%
1.12,0.0%,3.0%,51.5%,76.5%,56.3%
0.96,1.1%,6.7%,48.3%,58.1%,52.2%
2.39,0.0%,9.3%,62.8%,88.9%,62.5%
6.37,9.1%,0.0%,72.7%,100.0%,66.7%
1.07,2.4%,5.9%,65.9%,60.7%,55.2%
0.94,2.5%,6.2%,54.3%,75.0%,51.4%
0.72,7.4%,5.6%,63.0%,55.9%,45.0%
0.90,9.4%,3.5%,58.8%,80.0%,42.9%
1.66,5.0%,1.7%,71.7%,79.1%,58.8%
0.54,4.7%,7.0%,72.1%,51.6%,50.0%
0.81,2.9%,5.8%,58.0%,62.5%,37.9%
0.55,7.6%,3.0%,54.5%,66.7%,63.3%
1.28,5.4%,5.4%,66.1%,75.7%,42.1%
0.63,1.4%,6.9%,62.5%,51.1%,44.4%
1.31,6.8%,2.3%,56.4%,76.0%,60.3%
1.30,8.2%,4.5%,50.0%,88.1%,58.2%
0.80,11.1%,1.1%,58.9%,64.2%,56.8%
1.43,9.5%,3.2%,60.3%,81.6%,52.0%
1.17,10.6%,5.3%,48.9%,87.0%,47.9%
4.49,6.3%,3.1%,53.1%,94.1%,80.0%
0.55,5.1%,1.7%,62.7%,56.8%,50.0%
0.83,9.2%,1.5%,66.2%,74.4%,63.6%
1.14,3.8%,0.0%,65.4%,79.4%,50.0%
0.81,5.7%,4.3%,61.4%,67.4%,48.1%
1.10,11.1%,3.7%,76.5%,64.5%,26.3%
0.78,4.2%,3.4%,66.4%,69.6%,50.0%
0.86,4.9%,4.9%,49.2%,73.3%,61.3%
1.11,3.2%,5.3%,65.3%,75.8%,57.6%
0.94,4.0%,4.0%,59.6%,69.5%,52.5%
0.91,10.1%,2.5%,65.8%,51.9%,51.9%
0.71,4.3%,4.3%,68.6%,68.8%,40.9%
1.17,5.7%,8.6%,58.6%,73.2%,55.2%
1.25,5.2%,5.2%,74.2%,72.2%,48.0%
1.10,1.2%,3.6%,57.8%,56.3%,80.0%
0.76,4.3%,3.6%,61.9%,68.6%,41.5%
0.86,5.6%,5.6%,46.1%,68.3%,60.4%
1.37,4.4%,1.5%,51.5%,71.4%,66.7%
1.00,2.6%,10.3%,50.0%,71.8%,56.4%
0.59,5.2%,1.3%,55.8%,67.4%,44.1%
0.47,0.0%,1.5%,52.3%,70.6%,38.7%
1.07,5.2%,1.7%,54.3%,71.4%,52.8%
1.24,8.7%,4.3%,53.6%,64.9%,46.9%
0.75,3.6%,3.6%,60.7%,58.8%,36.4%
1.29,4.8%,4.8%,58.1%,88.9%,30.8%
0.84,4.1%,4.1%,59.5%,60.2%,58.3%
